post_id,tags
18447866,Clovis
69276401,Clovis
16332512,Clovis
80986257,Clovis
77515083,Clovis
17729765,Clovis
13065169,Clovis
43887997,Clovis
77425306,Clovis
15847842,Clovis
36126090,Clovis
46022858,Clovis
34169131,Clovis
16960436,Clovis
18266897,Clovis
44362318,Clovis
20523022,Clovis
16799449,Clovis
66848212,Clovis
39550592,Clovis
83105231,Clovis
34276507,Clovis
77367695,Clovis
30978094,Clovis
57260513,Clovis
30038025,Clovis
45378592,Clovis
11132530,Clovis
85635918,Clovis
18504395,Clovis
54654952,Clovis
17803974,Clovis
24546463,Clovis
7947536,Clovis
63596426,Clovis
20073727,Clovis
20105162,Clovis
7996709,Clovis
60780065,Clovis
61077204,Clovis
20737677,Clovis
7770847,Clovis
11119300,Clovis
61358902,Clovis
69276261,Clovis
69276401,Colin
52586629,Colin
19224026,Colin
68904898,Colin
28922129,Colin
38354440,Colin
19404567,Colin
81862043,Colin
22635769,Colin
20357795,Colin
22713182,Colin
15663343,Colin
43201149,Colin
59056697,Colin
14774647,Colin
22818009,Colin
6718272,Colin
13786305,Color Art
42180763,Color Art
21213902,Color Art
42143308,Color Art
15318496,Color Art
80934451,Color Art
13811941,Color Art
22673289,Color Art
42231456,Color Art
32038257,Color Art
13768034,Color Art
26449352,Color Art
13748412,Color Art
13733135,Color Art
42278101,Color Art
32175816,Color Art
14348243,Color Art
22424094,Color Art
8107195,Color Art
58283775,Color Art
24001133,Color Art
14332495,Color Art
14315270,Color Art
22532413,Color Art
26475742,Color Art
22553195,Color Art
14370395,Color Art
41153033,Color Art
22635887,Color Art
21063500,Color Art
41129702,Color Art
14382769,Color Art
41083720,Color Art
32066959,Color Art
22616615,Color Art
23681511,Color Art
61888961,Color Art
23775989,Color Art
21164725,Color Art
21090561,Color Art
23795723,Color Art
22594877,Color Art
32111808,Color Art
80726593,Color Art
22554236,Color Art
15145823,Color Art
42104395,Color Art
21180724,Color Art
80779298,Color Art
58283301,Color Art
80838063,Color Art
80888738,Color Art
32142251,Color Art
23818468,Color Art
14314349,Color Art
61435921,Color Art
47054137,Color Art
22635769,Color Art
27882970,Color Art
52771849,Color Art
27870061,Color Art
76468269,Color Art
16245851,Color Art
32729198,Color Art
16242913,Color Art
32730662,Color Art
15270523,Color Art
69913056,Color Art
69918613,Color Art
76509889,Color Art
16213017,Color Art
70060274,Color Art
15250281,Color Art
15227270,Color Art
16188102,Color Art
70110038,Color Art
32731004,Color Art
32731052,Color Art
58210506,Color Art
32731089,Color Art
15213082,Color Art
21114316,Color Art
16173260,Color Art
70017824,Color Art
37828191,Color Art
27919850,Color Art
22058650,Color Art
76436459,Color Art
14289772,Color Art
37894363,Color Art
47105700,Color Art
47152494,Color Art
37866323,Color Art
47191860,Color Art
47246382,Color Art
15162681,Color Art
14271328,Color Art
15187841,Color Art
14256747,Color Art
14237719,Color Art
58160268,Color Art
27997432,Color Art
19129243,Color Art
58283251,Color Art
21139147,Color Art
58259590,Color Art
37762036,Color Art
15197245,Color Art
45547237,Color Art
27972117,Color Art
22001288,Color Art
76561773,Color Art
22019743,Color Art
27956479,Color Art
14295425,Color Art
32064658,Color Art
65702667,Color Art
26508486,Color Art
7719204,Color Art
7708114,Color Art
53081073,Color Art
7700006,Color Art
71832737,Color Art
53233021,Color Art
7691727,Color Art
7681837,Color Art
27155981,Color Art
27156004,Color Art
53080998,Color Art
27156021,Color Art
27156124,Color Art
85267475,Color Art
85267429,Color Art
18535314,Color Art
85267380,Color Art
18562470,Color Art
49459456,Color Art
85267345,Color Art
85263975,Color Art
19841524,Color Art
27156099,Color Art
18585431,Color Art
53080949,Color Art
53041500,Color Art
15723916,Color Art
17828539,Color Art
17845948,Color Art
15742030,Color Art
15763173,Color Art
15782102,Color Art
17867817,Color Art
20545463,Color Art
15799350,Color Art
15814027,Color Art
53080404,Color Art
20523022,Color Art
20465084,Color Art
15834622,Color Art
20437500,Color Art
20414662,Color Art
15847842,Color Art
17889936,Color Art
17907291,Color Art
17936315,Color Art
18504395,Color Art
52813851,Color Art
20496634,Color Art
19862377,Color Art
19864595,Color Art
18603839,Color Art
71475005,Color Art
25792511,Color Art
25812950,Color Art
25826733,Color Art
25827054,Color Art
71430849,Color Art
25827082,Color Art
71376385,Color Art
25943800,Color Art
71320126,Color Art
47012527,Color Art
25970551,Color Art
72648131,Color Art
72655077,Color Art
72600336,Color Art
59344987,Color Art
72554892,Color Art
59368523,Color Art
72510526,Color Art
59368596,Color Art
59368610,Color Art
59368661,Color Art
19817257,Color Art
13502722,Color Art
13471453,Color Art
13428547,Color Art
19864626,Color Art
19864693,Color Art
17536169,Color Art
49504094,Color Art
19865025,Color Art
49503952,Color Art
17553369,Color Art
52122382,Color Art
19865145,Color Art
52116204,Color Art
18626339,Color Art
52002712,Color Art
52002083,Color Art
17577174,Color Art
51957532,Color Art
